Zeit;Kanal A
(ms);(V)

-5,00008193;0,89013280
-4,99997793;0,89013280
-4,99987393;0,84322710
-4,99976993;0,89013280
-4,99966593;0,89013280
-4,99956193;0,89013280
-4,99945793;0,89013280
-4,99935393;0,89013280
-4,99924993;0,89013280
-4,99914593;0,93688480
-4,99904193;0,93688480
-4,99893793;0,89013280
-4,99883393;0,89013280
-4,99872993;0,89013280
-4,99862593;0,89013280
-4,99852193;0,89013280
-4,99841793;0,89013280
-4,99831393;0,89013280
-4,99820993;0,89013280
-4,99810593;0,89013280
-4,99800193;0,89013280
-4,99789793;0,89013280
-4,99779393;0,93688480
-4,99768993;0,89013280
-4,99758593;0,89013280
-4,99748193;0,89013280
-4,99737793;0,89013280
-4,99727393;0,93688480
-4,99716993;0,89013280
-4,99706593;0,93688480
-4,99696193;0,84322710
-4,99685793;0,89013280
-4,99675393;0,89013280
-4,99664993;0,89013280
-4,99654593;0,93688480
-4,99644193;0,89013280
-4,99633793;0,89013280
-4,99623393;0,89013280
-4,99612993;0,93688480
-4,99602593;0,89013280
-4,99592193;0,93688480
-4,99581793;0,89013280
-4,99571393;0,89013280
-4,99560993;0,89013280
-4,99550593;0,89013280
-4,99540193;0,89013280
-4,99529793;0,89013280
-4,99519393;0,89013280
-4,99508993;0,89013280
-4,99498593;0,89013280
-4,99488193;0,89013280
-4,99477793;0,89013280
-4,99467393;0,93688480
-4,99456993;0,89013280
-4,99446593;0,89013280
-4,99436193;0,89013280
-4,99425793;0,84322710
-4,99415393;0,89013280
-4,99404993;0,89013280
-4,99394593;0,89013280
-4,99384193;0,89013280
-4,99373793;0,89013280
-4,99363393;0,89013280
-4,99352993;0,89013280
-4,99342593;0,89013280
-4,99332193;0,89013280
-4,99321793;0,89013280
-4,99311393;0,89013280
-4,99300993;0,93688480
-4,99290593;0,89013280
-4,99280193;0,89013280
-4,99269793;0,89013280
-4,99259393;0,93688480
-4,99248993;0,89013280
-4,99238593;0,89013280
-4,99228193;0,93688480
-4,99217793;0,84322710
-4,99207393;0,89013280
-4,99196993;0,89013280
-4,99186593;0,89013280
-4,99176193;0,89013280
-4,99165793;0,89013280
-4,99155393;0,89013280
-4,99144993;0,89013280
-4,99134593;0,89013280
-4,99124193;0,89013280
-4,99113793;0,93688480
-4,99103393;0,89013280
-4,99092993;0,84322710
-4,99082593;0,89013280
-4,99072193;0,89013280
-4,99061793;0,89013280
-4,99051393;0,89013280
-4,99040993;0,89013280
-4,99030593;0,89013280
-4,99020193;0,89013280
-4,99009793;0,89013280
-4,98999393;0,89013280
-4,98988993;0,89013280
-4,98978593;0,89013280
-4,98968193;0,89013280
-4,98957793;0,89013280
-4,98947393;0,89013280
-4,98936993;0,89013280
-4,98926593;0,89013280
-4,98916193;0,89013280
-4,98905793;0,89013280
-4,98895393;0,89013280
-4,98884993;0,89013280
-4,98874593;0,93688480
-4,98864193;0,89013280
-4,98853793;0,89013280
-4,98843393;0,84322710
-4,98832993;0,93688480
-4,98822593;0,89013280
-4,98812193;0,89013280
-4,98801793;0,89013280
-4,98791393;0,89013280
