Zeit;Kanal A
(ms);(V)

-4,97467787;1,12435400
-4,97457387;1,12435400
-4,97446987;1,12435400
-4,97436587;1,12435400
-4,97426187;1,12435400
-4,97415787;1,12435400
-4,97405387;1,07744800
-4,97394987;1,12435400
-4,97384587;1,07744800
-4,97374187;1,12435400
-4,97363787;1,12435400
-4,97353387;1,12435400
-4,97342987;1,07744800
-4,97332587;1,12435400
-4,97322187;1,12435400
-4,97311787;1,12435400
-4,97301387;1,12435400
-4,97290987;1,07744800
-4,97280587;1,12435400
-4,97270187;1,12435400
-4,97259787;1,12435400
-4,97249387;1,12435400
-4,97238987;1,12435400
-4,97228587;1,12435400
-4,97218187;1,12435400
-4,97207787;1,07744800
-4,97197387;1,12435400
-4,97186987;1,12435400
-4,97176587;1,12435400
-4,97166187;1,07744800
-4,97155787;1,17110600
-4,97145387;1,12435400
-4,97134987;1,12435400
-4,97124587;1,12435400
-4,97114187;1,12435400
-4,97103787;1,12435400
-4,97093387;1,12435400
-4,97082987;1,12435400
-4,97072587;1,12435400
-4,97062187;1,12435400
-4,97051787;1,12435400
-4,97041387;1,12435400
-4,97030987;1,12435400
-4,97020587;1,12435400
-4,97010187;1,07744800
-4,96999787;1,12435400
-4,96989387;1,07744800
-4,96978987;1,07744800
-4,96968587;1,12435400
-4,96958187;1,07744800
-4,96947787;1,12435400
-4,96937387;1,12435400
-4,96926987;1,07744800
-4,96916587;1,12435400
-4,96906187;1,07744800
-4,96895787;1,12435400
-4,96885387;1,12435400
-4,96874987;1,07744800
-4,96864587;1,12435400
-4,96854187;1,12435400
-4,96843787;1,12435400
-4,96833387;1,12435400
-4,96822987;1,12435400
-4,96812587;1,07744800
-4,96802187;1,12435400
-4,96791787;1,07744800
-4,96781387;1,12435400
-4,96770987;1,12435400
-4,96760587;1,12435400
-4,96750187;1,12435400
-4,96739787;1,12435400
-4,96729387;1,12435400
-4,96718987;1,12435400
-4,96708587;1,12435400
-4,96698187;1,07744800
-4,96687787;1,12435400
-4,96677387;1,12435400
-4,96666987;1,12435400
-4,96656587;1,12435400
-4,96646187;1,12435400
-4,96635787;1,12435400
-4,96625387;1,07744800
-4,96614987;1,07744800
-4,96604587;1,12435400
-4,96594187;1,12435400
-4,96583787;1,12435400
-4,96573387;1,12435400
-4,96562987;1,12435400
-4,96552587;1,12435400
-4,96542187;1,12435400
-4,96531787;1,12435400
-4,96521387;1,12435400
-4,96510987;1,12435400
-4,96500587;1,07744800
-4,96490187;1,07744800
-4,96479787;1,12435400
-4,96469387;1,12435400
-4,96458987;1,12435400
-4,96448587;1,07744800
-4,96438187;1,12435400
-4,96427787;1,12435400
-4,96417387;1,12435400
-4,96406987;1,07744800
-4,96396587;1,12435400
-4,96386187;1,12435400
-4,96375787;1,12435400
-4,96365387;1,12435400
-4,96354987;1,07744800
-4,96344587;1,12435400
-4,96334187;1,07744800
-4,96323787;1,12435400
-4,96313387;1,07744800
-4,96302987;1,07744800
-4,96292587;1,07744800
-4,96282187;1,07744800
-4,96271787;1,12435400
-4,96261387;1,12435400
-4,96250987;1,12435400
-4,96240587;1,17110600
-4,96230187;1,07744800
-4,96219787;1,12435400
-4,96209387;1,07744800
-4,96198987;1,07744800
-4,96188587;1,07744800
-4,96178187;1,12435400
-4,96167787;1,12435400
-4,96157387;1,12435400
-4,96146987;1,12435400
-4,96136587;1,12435400
-4,96126187;1,07744800
-4,96115787;1,12435400
-4,96105387;1,12435400
-4,96094987;1,12435400
-4,96084587;1,12435400
-4,96074187;1,07744800
-4,96063787;1,12435400
-4,96053387;1,12435400
-4,96042987;1,12435400
-4,96032587;1,12435400
-4,96022187;1,12435400
-4,96011787;1,12435400
-4,96001387;1,07744800
-4,95990987;1,12435400
-4,95980587;1,07744800
-4,95970187;1,12435400
-4,95959787;1,12435400
-4,95949387;1,12435400
-4,95938987;1,12435400
-4,95928587;1,12435400
-4,95918187;1,12435400
-4,95907787;1,12435400
-4,95897387;1,12435400
-4,95886987;1,12435400
-4,95876587;1,12435400
-4,95866187;1,12435400
-4,95855787;1,07744800
-4,95845387;1,12435400
-4,95834987;1,07744800
-4,95824587;1,07744800
-4,95814187;1,12435400
-4,95803787;1,12435400
-4,95793387;1,12435400
-4,95782987;1,12435400
-4,95772587;1,12435400
-4,95762187;1,07744800
-4,95751787;1,12435400
-4,95741387;1,12435400
-4,95730987;1,12435400
-4,95720587;1,07744800
-4,95710187;1,12435400
-4,95699787;1,12435400
-4,95689387;1,12435400
-4,95678987;1,12435400
-4,95668587;1,07744800
-4,95658187;1,12435400
-4,95647787;1,12435400
-4,95637387;1,12435400
-4,95626987;1,12435400
-4,95616587;1,12435400
-4,95606187;1,07744800
-4,95595787;1,12435400
-4,95585387;1,12435400
-4,95574987;1,07744800
-4,95564587;1,12435400
-4,95554187;1,12435400
-4,95543787;1,12435400
-4,95533387;1,12435400
-4,95522987;1,12435400
-4,95512587;1,12435400
-4,95502187;1,07744800
-4,95491787;1,12435400
-4,95481387;1,12435400
-4,95470987;1,12435400
-4,95460587;1,12435400
-4,95450187;1,12435400
-4,95439787;1,07744800
-4,95429387;1,12435400
-4,95418987;1,12435400
-4,95408587;1,07744800
-4,95398187;1,12435400
-4,95387787;1,12435400
-4,95377387;1,12435400
-4,95366987;1,12435400
-4,95356587;1,12435400
-4,95346187;1,12435400
-4,95335787;1,12435400
-4,95325387;1,12435400
-4,95314987;1,12435400
-4,95304587;1,12435400
-4,95294187;1,12435400
-4,95283787;1,07744800
-4,95273387;1,12435400
-4,95262987;1,12435400
-4,95252587;1,07744800
-4,95242187;1,12435400
-4,95231787;1,12435400
-4,95221387;1,12435400
-4,95210987;1,12435400
-4,95200587;1,12435400
-4,95190187;1,12435400
-4,95179787;1,07744800
-4,95169387;1,12435400
-4,95158987;1,12435400
-4,95148587;1,07744800
-4,95138187;1,07744800
-4,95127787;1,12435400
-4,95117387;1,07744800
-4,95106987;1,12435400
-4,95096587;1,12435400
-4,95086187;1,07744800
-4,95075787;1,07744800
-4,95065387;1,07744800
-4,95054987;1,07744800
-4,95044587;1,12435400
-4,95034187;1,12435400
-4,95023787;1,12435400
-4,95013387;1,12435400
-4,95002987;1,07744800
-4,94992587;1,07744800
-4,94982187;1,07744800
-4,94971787;1,12435400
-4,94961387;1,12435400
-4,94950987;1,07744800
-4,94940587;1,07744800
-4,94930187;1,07744800
-4,94919787;1,12435400
-4,94909387;1,12435400
-4,94898987;1,12435400
-4,94888587;1,12435400
-4,94878187;1,12435400
-4,94867787;1,12435400
-4,94857387;1,12435400
-4,94846987;1,12435400
-4,94836587;1,12435400
-4,94826187;1,12435400
-4,94815787;1,12435400
-4,94805387;1,07744800
-4,94794987;1,12435400
-4,94784587;1,07744800
-4,94774187;1,12435400
-4,94763787;1,12435400
-4,94753387;1,07744800
-4,94742987;1,12435400
-4,94732587;1,07744800
-4,94722187;1,12435400
-4,94711787;1,12435400
-4,94701387;1,07744800
-4,94690987;1,07744800
-4,94680587;1,12435400
-4,94670187;1,07744800
-4,94659787;1,07744800
-4,94649387;1,12435400
-4,94638987;1,12435400
-4,94628587;1,12435400
-4,94618187;1,12435400
-4,94607787;1,12435400
-4,94597387;1,12435400
-4,94586987;1,07744800
-4,94576587;1,07744800
-4,94566187;1,12435400
-4,94555787;1,12435400
-4,94545387;1,12435400
-4,94534987;1,07744800
-4,94524587;1,12435400
-4,94514187;1,12435400
-4,94503787;1,12435400
-4,94493387;1,07744800
-4,94482987;1,17110600
-4,94472587;1,07744800
-4,94462187;1,12435400
-4,94451787;1,12435400
-4,94441387;1,07744800
-4,94430987;1,07744800
-4,94420587;1,12435400
-4,94410187;1,07744800
-4,94399787;1,07744800
-4,94389387;1,07744800
-4,94378987;1,12435400
-4,94368587;1,07744800
-4,94358187;1,07744800
-4,94347787;1,07744800
-4,94337387;1,12435400
-4,94326987;0,89013280
-4,94316587;1,17110600
-4,94306187;1,12435400
-4,94295787;1,03054300
-4,94285387;1,17110600
-4,94274987;1,07744800
-4,94264587;1,12435400
-4,94254187;1,12435400
-4,94243787;1,12435400
-4,94233387;1,12435400
-4,94222987;1,12435400
-4,94212587;1,12435400
-4,94202187;1,12435400
-4,94191787;1,07744800
-4,94181387;1,12435400
-4,94170987;1,12435400
-4,94160587;1,12435400
-4,94150187;1,12435400
-4,94139787;1,12435400
-4,94129387;1,12435400
-4,94118987;1,12435400
-4,94108587;1,07744800
-4,94098187;1,07744800
-4,94087787;1,12435400
-4,94077387;1,12435400
-4,94066987;1,07744800
-4,94056587;1,12435400
-4,94046187;1,12435400
-4,94035787;1,07744800
-4,94025387;1,07744800
-4,94014987;1,12435400
-4,94004587;1,07744800
-4,93994187;1,12435400
-4,93983787;1,12435400
-4,93973387;1,12435400
-4,93962987;1,12435400
-4,93952587;1,12435400
-4,93942187;1,12435400
-4,93931787;1,07744800
-4,93921387;1,12435400
-4,93910987;1,12435400
-4,93900587;1,07744800
-4,93890187;1,07744800
-4,93879787;1,07744800
-4,93869387;1,12435400
-4,93858987;1,12435400
-4,93848587;1,12435400
-4,93838187;1,07744800
-4,93827787;1,07744800
-4,93817387;1,07744800
-4,93806987;1,12435400
-4,93796587;1,12435400
-4,93786187;1,12435400
-4,93775787;1,07744800
-4,93765387;1,07744800
-4,93754987;1,12435400
-4,93744587;1,07744800
-4,93734187;1,12435400
-4,93723787;1,12435400
-4,93713387;1,12435400
-4,93702987;1,12435400
-4,93692587;1,12435400
-4,93682187;1,07744800
-4,93671787;1,12435400
-4,93661387;1,12435400
-4,93650987;1,12435400
-4,93640587;1,12435400
-4,93630187;1,12435400
-4,93619787;1,12435400
-4,93609387;1,12435400
-4,93598987;1,12435400
-4,93588587;1,12435400
-4,93578187;1,12435400
-4,93567787;1,12435400
-4,93557387;1,12435400
-4,93546987;1,07744800
-4,93536587;1,07744800
-4,93526187;1,07744800
-4,93515787;1,12435400
-4,93505387;1,07744800
-4,93494987;1,12435400
-4,93484587;1,07744800
-4,93474187;1,12435400
-4,93463787;1,12435400
-4,93453387;1,12435400
-4,93442987;1,12435400
-4,93432587;1,07744800
-4,93422187;1,07744800
-4,93411787;1,12435400
-4,93401387;1,07744800
-4,93390987;1,07744800
-4,93380587;1,12435400
-4,93370187;1,12435400
-4,93359787;1,07744800
-4,93349387;1,07744800
-4,93338987;1,07744800
-4,93328587;1,12435400
-4,93318187;1,07744800
-4,93307787;1,12435400
-4,93297387;1,07744800
-4,93286987;1,12435400
-4,93276587;1,07744800
-4,93266187;1,12435400
-4,93255787;1,12435400
-4,93245387;1,12435400
-4,93234987;1,07744800
-4,93224587;1,12435400
-4,93214187;1,12435400
-4,93203787;1,12435400
-4,93193387;1,07744800
-4,93182987;1,12435400
-4,93172587;1,12435400
-4,93162187;1,12435400
-4,93151787;1,07744800
-4,93141387;1,12435400
-4,93130987;1,07744800
-4,93120587;1,12435400
-4,93110187;1,12435400
-4,93099787;1,07744800
-4,93089387;1,07744800
-4,93078987;1,07744800
-4,93068587;1,07744800
-4,93058187;1,07744800
-4,93047787;1,12435400
-4,93037387;1,12435400
-4,93026987;1,12435400
-4,93016587;1,07744800
-4,93006187;1,12435400
-4,92995787;1,07744800
-4,92985387;1,07744800
-4,92974987;1,07744800
-4,92964587;1,12435400
-4,92954187;1,07744800
-4,92943787;1,12435400
-4,92933387;1,07744800
-4,92922987;1,12435400
-4,92912587;1,12435400
-4,92902187;1,12435400
-4,92891787;1,07744800
-4,92881387;1,07744800
-4,92870987;1,12435400
-4,92860587;1,07744800
-4,92850187;1,07744800
-4,92839787;1,12435400
-4,92829387;1,12435400
-4,92818987;1,12435400
-4,92808587;1,17110600
-4,92798187;1,12435400
-4,92787787;1,12435400
-4,92777387;1,12435400
-4,92766987;1,12435400
-4,92756587;1,07744800
-4,92746187;1,12435400
-4,92735787;1,07744800
-4,92725387;1,12435400
-4,92714987;1,07744800
-4,92704587;1,12435400
-4,92694187;1,12435400
-4,92683787;1,12435400
-4,92673387;1,12435400
-4,92662987;1,12435400
-4,92652587;1,12435400
-4,92642187;1,12435400
-4,92631787;1,07744800
-4,92621387;1,07744800
-4,92610987;1,12435400
-4,92600587;1,07744800
-4,92590187;1,12435400
-4,92579787;1,12435400
-4,92569387;1,07744800
-4,92558987;1,07744800
-4,92548587;1,12435400
-4,92538187;1,12435400
-4,92527787;1,12435400
-4,92517387;1,12435400
-4,92506987;1,07744800
-4,92496587;1,12435400
-4,92486187;1,12435400
-4,92475787;1,12435400
-4,92465387;1,07744800
-4,92454987;1,07744800
-4,92444587;1,12435400
-4,92434187;1,12435400
-4,92423787;1,07744800
-4,92413387;1,12435400
-4,92402987;1,07744800
-4,92392587;1,12435400
-4,92382187;1,12435400
-4,92371787;1,12435400
-4,92361387;1,12435400
-4,92350987;1,07744800
-4,92340587;1,12435400
-4,92330187;1,12435400
-4,92319787;1,12435400
-4,92309387;1,12435400
-4,92298987;1,07744800
-4,92288587;1,07744800
-4,92278187;1,07744800
-4,92267787;1,07744800
-4,92257387;1,12435400
-4,92246987;1,07744800
-4,92236587;1,12435400
-4,92226187;1,12435400
-4,92215787;1,12435400
-4,92205387;1,07744800
-4,92194987;1,12435400
-4,92184587;1,12435400
-4,92174187;1,07744800
-4,92163787;1,12435400
-4,92153387;1,12435400
-4,92142987;1,12435400
-4,92132587;1,12435400
-4,92122187;1,07744800
-4,92111787;1,12435400
-4,92101387;1,12435400
-4,92090987;1,12435400
-4,92080587;1,12435400
-4,92070187;1,07744800
-4,92059787;1,07744800
-4,92049387;1,07744800
-4,92038987;1,12435400
-4,92028587;1,12435400
-4,92018187;1,12435400
-4,92007787;1,12435400
-4,91997387;1,07744800
-4,91986987;1,12435400
-4,91976587;1,12435400
-4,91966187;1,07744800
-4,91955787;1,12435400
-4,91945387;1,12435400
-4,91934987;1,12435400
-4,91924587;1,12435400
-4,91914187;1,12435400
-4,91903787;1,12435400
-4,91893387;1,07744800
-4,91882987;1,12435400
-4,91872587;1,07744800
-4,91862187;1,07744800
-4,91851787;1,12435400
-4,91841387;1,12435400
-4,91830987;1,12435400
-4,91820587;1,07744800
-4,91810187;1,07744800
-4,91799787;1,12435400
-4,91789387;1,07744800
-4,91778987;1,12435400
-4,91768587;1,12435400
-4,91758187;1,12435400
-4,91747787;1,12435400
-4,91737387;1,07744800
-4,91726987;1,12435400
-4,91716587;1,07744800
-4,91706187;1,07744800
-4,91695787;1,07744800
-4,91685387;1,07744800
-4,91674987;1,12435400
-4,91664587;1,12435400
-4,91654187;1,12435400
-4,91643787;1,07744800
-4,91633387;1,12435400
-4,91622987;1,12435400
-4,91612587;1,07744800
-4,91602187;1,12435400
-4,91591787;1,07744800
-4,91581387;1,12435400
-4,91570987;1,12435400
-4,91560587;1,07744800
-4,91550187;1,12435400
-4,91539787;1,07744800
-4,91529387;1,07744800
-4,91518987;1,12435400
-4,91508587;1,07744800
-4,91498187;1,12435400
-4,91487787;1,12435400
-4,91477387;1,12435400
-4,91466987;1,12435400
-4,91456587;1,12435400
-4,91446187;1,07744800
-4,91435787;1,07744800
-4,91425387;1,12435400
-4,91414987;1,07744800
-4,91404587;1,12435400
-4,91394187;1,12435400
-4,91383787;1,12435400
-4,91373387;1,12435400
-4,91362987;1,12435400
-4,91352587;1,07744800
-4,91342187;1,12435400
-4,91331787;1,12435400
-4,91321387;1,12435400
-4,91310987;1,12435400
-4,91300587;1,07744800
-4,91290187;1,12435400
-4,91279787;1,12435400
-4,91269387;1,07744800
-4,91258987;1,12435400
-4,91248587;1,07744800
-4,91238187;1,12435400
-4,91227787;1,07744800
-4,91217387;1,12435400
-4,91206987;1,12435400
-4,91196587;1,12435400
-4,91186187;1,12435400
-4,91175787;1,12435400
-4,91165387;1,07744800
-4,91154987;1,07744800
-4,91144587;1,12435400
-4,91134187;1,12435400
-4,91123787;1,12435400
-4,91113387;1,07744800
-4,91102987;1,12435400
-4,91092587;1,12435400
-4,91082187;1,07744800
-4,91071787;1,12435400
-4,91061387;1,12435400
-4,91050987;1,07744800
-4,91040587;1,07744800
-4,91030187;1,07744800
-4,91019787;1,07744800
-4,91009387;1,12435400
-4,90998987;1,12435400
-4,90988587;1,12435400
-4,90978187;1,12435400
-4,90967787;1,12435400
-4,90957387;1,12435400
-4,90946987;1,12435400
-4,90936587;1,07744800
-4,90926187;1,12435400
-4,90915787;1,12435400
-4,90905387;1,12435400
-4,90894987;1,12435400
-4,90884587;1,12435400
-4,90874187;1,12435400
-4,90863787;1,12435400
-4,90853387;1,07744800
-4,90842987;1,12435400
-4,90832587;1,07744800
-4,90822187;1,07744800
-4,90811787;1,12435400
-4,90801387;1,07744800
-4,90790987;1,12435400
-4,90780587;1,07744800
-4,90770187;1,07744800
-4,90759787;1,07744800
-4,90749387;1,12435400
-4,90738987;1,07744800
-4,90728587;1,12435400
-4,90718187;1,12435400
-4,90707787;1,07744800
-4,90697387;1,12435400
-4,90686987;1,12435400
-4,90676587;1,12435400
-4,90666187;1,12435400
-4,90655787;1,07744800
-4,90645387;1,12435400
-4,90634987;1,07744800
-4,90624587;1,12435400
-4,90614187;1,12435400
-4,90603787;1,12435400
-4,90593387;1,12435400
-4,90582987;1,12435400
-4,90572587;1,07744800
-4,90562187;1,07744800
-4,90551787;1,12435400
-4,90541387;1,12435400
-4,90530987;1,12435400
-4,90520587;1,12435400
-4,90510187;1,12435400
-4,90499787;1,12435400
-4,90489387;1,12435400
-4,90478987;1,07744800
-4,90468587;1,07744800
-4,90458187;1,12435400
-4,90447787;1,12435400
-4,90437387;1,12435400
-4,90426987;1,07744800
-4,90416587;1,12435400
-4,90406187;1,12435400
-4,90395787;1,07744800
-4,90385387;1,12435400
-4,90374987;1,12435400
-4,90364587;1,07744800
-4,90354187;1,12435400
-4,90343787;1,12435400
-4,90333387;1,07744800
-4,90322987;1,12435400
-4,90312587;1,12435400
-4,90302187;1,07744800
-4,90291787;1,07744800
-4,90281387;1,07744800
-4,90270987;1,12435400
-4,90260587;1,12435400
-4,90250187;1,07744800
-4,90239787;1,07744800
-4,90229387;1,07744800
-4,90218987;1,12435400
-4,90208587;1,12435400
-4,90198187;1,07744800
-4,90187787;1,07744800
-4,90177387;1,12435400
-4,90166987;1,07744800
-4,90156587;1,12435400
-4,90146187;1,12435400
-4,90135787;1,12435400
-4,90125387;1,12435400
-4,90114987;1,12435400
-4,90104587;1,12435400
-4,90094187;1,12435400
-4,90083787;1,12435400
-4,90073387;1,12435400
-4,90062987;1,07744800
-4,90052587;1,07744800
-4,90042187;1,07744800
-4,90031787;1,12435400
-4,90021387;1,12435400
-4,90010987;1,12435400
-4,90000587;1,12435400
-4,89990187;1,07744800
-4,89979787;1,12435400
-4,89969387;1,12435400
-4,89958987;1,12435400
-4,89948587;1,12435400
-4,89938187;1,07744800
-4,89927787;1,12435400
-4,89917387;1,07744800
-4,89906987;1,12435400
-4,89896587;1,07744800
-4,89886187;1,07744800
-4,89875787;1,07744800
-4,89865387;1,12435400
-4,89854987;1,12435400
-4,89844587;1,07744800
-4,89834187;1,07744800
-4,89823787;1,07744800
-4,89813387;1,12435400
-4,89802987;1,12435400
-4,89792587;1,12435400
-4,89782187;1,12435400
-4,89771787;1,07744800
-4,89761387;1,12435400
-4,89750987;1,12435400
-4,89740587;1,07744800
-4,89730187;1,12435400
-4,89719787;1,07744800
-4,89709387;1,07744800
-4,89698987;1,07744800
-4,89688587;1,07744800
-4,89678187;1,07744800
-4,89667787;1,12435400
-4,89657387;1,12435400
-4,89646987;1,07744800
-4,89636587;1,12435400
-4,89626187;1,07744800
-4,89615787;1,07744800
-4,89605387;1,12435400
-4,89594987;1,12435400
-4,89584587;1,12435400
-4,89574187;1,07744800
-4,89563787;1,12435400
-4,89553387;1,12435400
-4,89542987;1,07744800
-4,89532587;1,12435400
-4,89522187;1,07744800
-4,89511787;1,07744800
-4,89501387;1,12435400
-4,89490987;1,07744800
-4,89480587;1,07744800
-4,89470187;1,07744800
-4,89459787;1,12435400
-4,89449387;1,07744800
-4,89438987;1,12435400
-4,89428587;1,12435400
-4,89418187;1,07744800
-4,89407787;1,12435400
-4,89397387;1,12435400
-4,89386987;1,07744800
-4,89376587;1,07744800
-4,89366187;1,07744800
-4,89355787;1,12435400
-4,89345387;1,12435400
-4,89334987;1,12435400
-4,89324587;1,12435400
-4,89314187;1,12435400
-4,89303787;1,07744800
-4,89293387;1,07744800
-4,89282987;1,07744800
-4,89272587;1,07744800
-4,89262187;1,12435400
-4,89251787;1,12435400
-4,89241387;1,12435400
-4,89230987;1,12435400
-4,89220587;1,12435400
-4,89210187;1,12435400
-4,89199787;1,12435400
-4,89189388;1,07744800
-4,89178988;1,12435400
-4,89168588;1,12435400
-4,89158188;1,07744800
-4,89147788;1,12435400
-4,89137388;1,12435400
-4,89126988;1,12435400
-4,89116588;1,12435400
-4,89106188;1,12435400
-4,89095788;1,12435400
-4,89085388;1,12435400
-4,89074988;1,12435400
-4,89064588;1,12435400
-4,89054188;1,12435400
-4,89043788;1,12435400
-4,89033388;1,12435400
-4,89022988;1,07744800
-4,89012588;1,12435400
-4,89002188;1,07744800
-4,88991788;1,12435400
-4,88981388;1,07744800
-4,88970988;1,07744800
-4,88960588;1,12435400
-4,88950188;1,12435400
-4,88939788;1,12435400
-4,88929388;1,12435400
-4,88918988;1,12435400
-4,88908588;1,12435400
-4,88898188;1,07744800
-4,88887788;1,07744800
-4,88877388;1,12435400
-4,88866988;1,07744800
-4,88856588;1,07744800
